Team;Country
Argentinos;Argentina
Boca Juniors;Argentina
CA Rosario;Argentina
Chacarita Jrs;Argentina
Colón;Argentina
Estudiantes;Argentina
Gimnasia;Argentina
Independiente;Argentina
Lanús;Argentina
Newell's;Argentina
Racing Club;Argentina
River Plate;Argentina
San Lorenzo;Argentina
Vélez Sarsfield;Argentina
Sydney Olympic;Argentina
Atlético-MG;Brazil
Atlético-PR;Brazil
Avaí FC;Brazil
Coimbra-MG;Brazil
Corinthians;Brazil
Cruzeiro;Brazil
Desp. Brasil;Brazil
EC Vitória;Brazil
FC São Paulo B;Brazil
Figueirense FC;Brazil
Flamengo;Brazil
Fluminense;Brazil
Goiás EC;Brazil
Grêmio;Brazil
Guarani;Brazil
Internacional;Brazil
Iraty SC;Brazil
Ituano;Brazil
Juventude;Brazil
Palmeiras;Brazil
Paraná;Brazil
Ponte Preta;Brazil
Portuguesa;Brazil
Santos FC;Brazil
São Caetano;Brazil
São Paulo;Brazil
Tombense;Brazil
Vasco U17;Brazil
Vasco da Gama;Brazil
CSKA Sofia;Bulgaria
Levski Sofia;Bulgaria
Litex Lovetch;Bulgaria
Lok. Plovdiv;Bulgaria
Lok. Sofia;Bulgaria
Vancouver;Canada
Audax Italiano;Chile
CD Palestino;Chile
CDUC;Chile
Cobreloa;Chile
Colo Colo;Chile
U. de Chile;Chile
BJ Sinobo Guoan;Chile
DL Shide;Chile
Liaoning FC;Chile
SH Shenhua;Chile
Atl. Nacional;Colombia
Deportivo Cali;Colombia
Indep. Medellín;Colombia
Once Caldas;Colombia
Dinamo Zagreb;Croatia
Hajduk Split;Croatia
NK Varazdin;Croatia
NK Zagreb;Croatia
Banik Ostrava;CzechRepublic
FK Teplice;CzechRepublic
Slovan Liberec;CzechRepublic
Sparta Praha;CzechRepublic
Aalborg BK;Denmark
Akademisk BK;Denmark
FC Copenhagen;Denmark
FC Midtjylland;Denmark
Odense BK;Denmark
LDU Quito;Ecuador
Arsenal U23;England
Barnsley FC;England
Birmingham;England
Blackburn;England
Blackpool;England
Bolton;England
Bristol Rovers;England
Cambridge Utd.;England
Colchester Utd.;England
Fulham;England
Huddersfield;England
MK Dons;England
MK Dons U18;England
Norwich;England
QPR;England
Sheff Wed;England
Sheffield Utd.;England
Stoke City;England
Wigan;England
FC Lahti;Finland
Le Havre U19;France
Olymp. Lyon B;France
Asante Kotoko;Ghana
Persepolis;Iran
Busan IPark;South Korea
Suwon Bluewings;South Korea
Skonto Riga;Latvia
Atlas;Mexico
CD Cruz Azul;Mexico
CF Pachuca;Mexico
Chivas;Mexico
Morelia;Mexico
Necaxa;Mexico
Santos Laguna;Mexico
Toluca;Mexico
Sheriff;Moldova
Cerro Porteño;Paraguay
Olimpia;Paraguay
Alianza Lima;Peru
Alverca;Portugal
Benfica;Portugal
Braga;Portugal
Sporting CP;Portugal
Al Arabi;Qatar
Al Sadd;Qatar
Dinamo Bukarest;Romania
FCM Bacau;Romania
FCS Bucharest;Romania
Rapid Bucharest;Romania
Anzhi;Russia
CSKA Moscow;Russia
FK Moskau;Russia
Kuban Krasnodar;Russia
Lada Togliatti;Russia
Rubin Kazan;Russia
Uralan;Russia
Al Qadisiyah;SaudiArabia
Shabab;SaudiArabia
Celtic;Scotland
Dundee FC;Scotland
Heart of Midl.;Scotland
Hibernian FC;Scotland
Livingston FC;Scotland
Rangers;Scotland
Cukaricki;Serbia
FK Obilic;Serbia
OFK Beograd;Serbia
Partizan;Serbia
Rad;Serbia
Red Star;Serbia
Vojvodina;Serbia
Inter Bratislava;Slovakia
Orlando Pirates;SouthAfrica
Barcelona Yth.;Spain
Barça Juvenil A;Spain
Depor Jugend;Spain
R. Madrid Youth;Spain
Djurgarden;Sweden
Elfsborg;Sweden
Hammarby;Sweden
Helsingborg;Sweden
Malmö FF;Sweden
Örgryte;Sweden
Östers IF;Sweden
ES Sahel;Tunisia
Karpaty;Ukraine
Al-Ain FC;United Arab Emirates
Al-Jazira;United Arab Emirates
UCLA Bruins;UnitedStates
Danubio FC;Uruguay
Defensor;Uruguay
Nacional;Uruguay
Peñarol;Uruguay
Wanderers;Uruguay
Trujillanos;Venezuela
1. FC Köln;Germany
1.FC K'lautern;Germany
1.FC Nuremberg;Germany
1.FSV Mainz 05;Germany
1860 Munich;Germany
Arm. Bielefeld;Germany
Bay. Leverkusen;Germany
Bayern Munich ;Germany
Bor. Dortmund;Germany
Bor. M'gladbach;Germany
E. Frankfurt;Germany
Energie Cottbus;Germany
FC Augsburg;Germany
FC Schalke 04;Germany
Hamburger SV;Germany
Hannover 96;Germany
Hansa Rostock;Germany
Hertha BSC;Germany
RB Leipzig;Germany
SC Freiburg;Germany
TSG Hoffenheim;Germany
VfB Stuttgart;Germany
VfL Bochum;Germany
VfL Wolfsburg;Germany
Werder Bremen;Germany
Anzhi;Russia
Dinamo Zagreb;Croatia
HNK Rijeka;Croatia
Hajduk Split;Croatia
RNK Split;Croatia
Antalyaspor;Turkey
Servette FC;Switzerland
1. FC Köln;Germany
1.FC K'lautern;Germany
1.FC Nuremberg;Germany
1.FSV Mainz 05;Germany
1860 Munich;Germany
Arm. Bielefeld;Germany
Bor. M'gladbach;Germany
E. Frankfurt;Germany
FC Ingolstadt;Germany
Hamburger SV;Germany
Hannover 96;Germany
Hertha BSC;Germany
Karlsruher SC;Germany
SC Freiburg;Germany
SSV Reutlingen;Germany
VfB Stuttgart;Germany
VfL Bochum;Germany
RM Castilla;Spain
CA Osasuna B;Spain
FC Barcelona B;Spain
Valencia B;Spain
FC Bayern II;Germany
Ludogorets;Bulgaria
AIK Solna;Sweden
Djurgarden;Sweden
Elfsborg;Sweden
Helsingborg;Sweden
IFK Göteborg;Sweden
Kalmar FF;Sweden
Malmö FF;Sweden
FC Lugano;Switzerland
RS Berkane;Morocco
Austria Vienna;Germany
RB Salzburg;Germany
Rapid Vienna;Germany
Sturm Graz;Germany
Lausanne-Sport;Switzerland
FC Metz;France
Aston Villa;England
Birmingham;England
Blackburn;England
Blackpool;England
Brentford;England
Brighton;England
Bristol City;England
Burnley;England
Cardiff;England
Charlton;England
Colchester Utd.;England
Coventry City;England
Crewe Alexandra;England
Crystal Palace;England
Derby;England
Fulham;England
Huddersfield;England
Hull City;England
Ipswich;England
Leeds;England
Leicester;England
Luton Town;England
Middlesbrough;England
Millwall;England
Newcastle;England
Norwich;England
Nottm Forest;England
Peterborough;England
Portsmouth;England
Preston NE;England
QPR;England
Reading;England
Sheff Wed;England
Sheffield Utd.;England
Southampton;England
Stoke City;England
Sunderland;England
Swansea;England
Watford;England
West Brom;England
West Ham;England
Wigan;England
Wolves;England
Grodzisk;Poland
Lech Poznan;Poland
Legia Warszawa;Poland
Pol. Warsaw;Poland
Wisla Kraków;Poland
Aalesund;Norway
FK Lyn;Norway
Lilleström SK;Norway
Molde FK;Norway
Rosenborg BK;Norway
SK Brann;Norway
Stabaek IF;Norway
Tromsø;Norway
Valerenga;Norway
Viking FK;Norway
AFC Ajax;Netherlands
AZ Alkmaar;Netherlands
De Graafschap;Netherlands
FC Groningen;Netherlands
FC Twente;Netherlands
FC Utrecht;Netherlands
Feyenoord;Netherlands
Heerenveen;Netherlands
NEC Nijmegen;Netherlands
PSV Eindhoven;Netherlands
RKC Waalwijk;Netherlands
Roda JC;Netherlands
Sparta R.;Netherlands
VVV-Venlo;Netherlands
Vitesse;Netherlands
Willem II;Netherlands
Bradford City;England
Coventry City;England
Crewe Alexandra;England
Crystal Palace;England
Derby;England
Gillingham FC;England
Ipswich;England
Leicester;England
MK Dons;England
Man City;England
Millwall;England
Nottm Forest;England
Portsmouth;England
Preston NE;England
Rotherham Utd.;England
Sunderland;England
Watford;England
West Brom;England
West Ham;England
Wigan;England
Wolves;England
Banik Ostrava;CzechRepublic
FK Teplice;CzechRepublic
Sigma Olomouc;CzechRepublic
Slavia Prag;CzechRepublic
Slovan Liberec;CzechRepublic
Sparta Praha;CzechRepublic
Viktoria Plzen;CzechRepublic
Zbrojovka Brno;CzechRepublic
Kyoto Sanga;Japan
Urawa Reds;Japan
Yokohama F. M.;Japan
Gamba Osaka;Japan
JEF Utd. Chiba;Japan
Kashima Antlers;Japan
Kashiwa Reysol;Japan
Nagoya Grampus;Japan
Tokyo Verdy;Japan
Urawa Reds;Japan
Tokyo Verdy;Japan
Beerschot AC;Belgium
Club Brugge;Belgium
Exc. Mouscron;Belgium
KAA Gent;Belgium
KAS Eupen;Belgium
KRC Genk;Belgium
KSC Lokeren;Belgium
KSK Beveren;Belgium
KV Oostende;Belgium
KVC Westerlo;Belgium
Lierse SK;Belgium
RSC Anderlecht;Belgium
RSC Charleroi;Belgium
Royal Antwerp;Belgium
Standard Liège;Belgium
Zulte Waregem;Belgium
Ulsan;South Korea
Pohang Steelers;South Korea
Alavés;Spain
Albacete;Spain
Athletic Bilbao;Spain
Atlético Madrid;Spain
CA Osasuna;Spain
CD Leganés;Spain
Celta de Vigo;Spain
Dep. La Coruña;Spain
Elche CF;Spain
Espanyol;Spain
FC Barcelona;Spain
Getafe CF;Spain
Granada CF;Spain
Levante UD;Spain
Málaga CF;Spain
RCD Mallorca;Spain
Racing;Spain
Rayo Vallecano;Spain
Real Betis;Spain
Real Madrid;Spain
Real Sociedad;Spain
Real Valladolid;Spain
Real Zaragoza;Spain
Recr. Huelva;Spain
SD Eibar;Spain
Sevilla FC;Spain
Sporting Gijón;Spain
UD Almería;Spain
UD Las Palmas;Spain
Valencia CF;Spain
Villarreal CF;Spain
Alavés;Spain
Albacete;Spain
Atlético Madrid;Spain
CD Tenerife;Spain
Celta de Vigo;Spain
Dep. La Coruña;Spain
Elche CF;Spain
FC Barcelona B;Spain
Hércules CF;Spain
Levante UD;Spain
RCD Mallorca;Spain
RM Castilla;Spain
Racing;Spain
Real Betis;Spain
Real Valladolid;Spain
Real Zaragoza;Spain
SD Compostela;Spain
Sevilla FC;Spain
Sporting Gijón;Spain
UD Almería;Spain
UD Las Palmas;Spain
UD Salamanca;Spain
Villarreal CF;Spain
BJ Renhe;England
Bristol City;England
Charlton;England
Crewe Alexandra;England
DL Yifang;England
Leeds;England
MK Dons;England
Peterborough;England
SH Shenxin;England
Sheffield Utd.;England
Sunderland;England
ZJ Greentown;England
CFR Cluj;Spain
Dinamo Bukarest;Spain
FCS Bucharest;Spain
Rapid Bucharest;Spain
FCS Bucharest;Romania
Atlas;Mexico
Chivas;Mexico
León;Mexico
Morelia;Mexico
Santos Laguna;Mexico
UNAM Pumas;Mexico
América;Mexico
Atlas;Mexico
CD Cruz Azul;Mexico
CF Pachuca;Mexico
Chiapas FC;Mexico
Chivas;Mexico
Club Tijuana;Mexico
León;Mexico
Monterrey;Mexico
Morelia;Mexico
Necaxa;Mexico
Santos Laguna;Mexico
Tigres UANL;Mexico
Toluca;Mexico
UNAM Pumas;Mexico
Belenenses;Portugal
Benfica;Portugal
Boavista;Portugal
Braga;Portugal
Coimbra;Portugal
FC Porto;Portugal
Feirense;Portugal
Leiria;Portugal
Marítimo;Portugal
Nacional;Portugal
Paços Ferreira;Portugal
Portimonense;Portugal
Rio Ave FC;Portugal
Sporting CP;Portugal
Vit. Guimarães;Portugal
Vitória Setúbal;Portugal
Atl. Nacional;Colombia
Deportivo Cali;Colombia
Junior FC;Colombia
M. Tel Aviv;Israel
Maccabi Haifa;Israel
AJ Auxerre;France
AS Nancy;France
CS Sedan;France
Dijon;France
FC Lorient;France
FC Metz;France
FC Nantes;France
FC Sochaux;France
G. Bordeaux;France
Guingamp;France
LOSC Lille;France
Le Mans;France
Lens;France
Marseille;France
Monaco;France
Montpellier;France
OGC Nice;France
Olympique Lyon;France
Paris SG;France
R. Strasbourg;France
Reims;France
SC Amiens;France
SC Bastia;France
SCO Angers;France
SM Caen;France
Saint-Étienne;France
Stade Brest 29;France
Stade Rennais;France
Toulouse;France
Troyes;France
Valenciennes FC;France
AC Le Havre;France
AJ Auxerre;France
AS Nancy;France
CS Sedan;France
Dijon;France
FC Lorient;France
FC Metz;France
FC Nantes;France
FC Sochaux;France
Guingamp;France
Istres FC;France
Le Mans;France
Lens;France
Monaco;France
Montpellier;France
R. Strasbourg;France
SC Bastia;France
SM Caen;France
Saint-Étienne;France
Troyes;France
Esperance;France
Chicago Fire;USA
NY Red Bulls;USA
Revolution;USA
Toronto FC;USA
Ferencváros;Hungary
Stabaek IF;Norway
Ahly;England
Arsenal;England
Aston Villa;England
Birmingham;England
Blackburn;England
Bolton;England
Bournemouth;England
Bradford City;England
Burnley;England
Charlton;England
Chelsea;England
Coventry City;England
Crystal Palace;England
Derby;England
El Masry;England
Enppi;England
Everton;England
Fulham;England
Huddersfield;England
Hull City;England
Ipswich;England
Leeds;England
Leicester;England
Liverpool;England
Man City;England
Man Utd;England
Middlesbrough;England
Newcastle;England
Norwich;England
Portsmouth;England
QPR;England
Reading;England
Southampton;England
Spurs;England
Stoke City;England
Sunderland;England
Swansea;England
Watford;England
West Brom;England
West Ham;England
Wigan;England
Wolves;England
Anzhi;Russia
CSKA Moscow;Russia
Dinamo Moscow;Russia
Dnipro;Russia
Dynamo Kyiv;Russia
FK Moskau;Russia
KS Samara;Russia
Krasnodar;Russia
Kuban Krasnodar;Russia
Loko Moscow;Russia
Metalist;Russia
Metalurh D.;Russia
Metalurh Z.;Russia
Rostov;Russia
Rotor Volgograd;Russia
Rubin Kazan;Russia
Saturn;Russia
Shakhtar D.;Russia
Spartak Moscow;Russia
Spartak V.;Russia
Tom Tomsk;Russia
Torpedo Moscow;Russia
Zenit S-Pb;Russia
Zorya Lugansk;Russia
Celtic;Russia
Hamilton Acad.;England
Heart of Midl.;England
Hibernian FC;England
Motherwell FC;England
Rangers;England
Inter U19;Italy
Instituto;Argentina
River Plate;Argentina
Limón FC;Argentina
Argentinos;Argentina
Audax Italiano;Argentina
Boca Juniors;Argentina
CA Rosario;Argentina
Colo Colo;Argentina
Estudiantes;Argentina
Huracán;Argentina
Independiente;Argentina
Lanús;Argentina
Nacional;Argentina
Peñarol;Argentina
Racing Club;Argentina
Rentistas;Argentina
River Plate;Argentina
U. de Chile;Argentina
Vélez Sarsfield;Argentina
Al-Ettifaq;SaudiArabia
Hilal;SaudiArabia
Shabab;SaudiArabia
KV Mechelen;Belgium
Wattenscheid 09;Germany
FC Lorient;France
Barnsley FC;England
Brighton;England
Tranmere Rovers;England
Maldonado;Uruguay
AC Milan;Italy
AS Livorno;Italy
AS Roma;Italy
Atalanta;Italy
Bari;Italy
Bologna;Italy
Brescia;Italy
Cagliari Calcio;Italy
Catania;Italy
Chievo Verona;Italy
FC Empoli;Italy
Fiorentina;Italy
Genoa;Italy
Hellas Verona;Italy
Inter;Italy
Juventus;Italy
Lazio;Italy
Lecce;Italy
Parma;Italy
Perugia;Italy
Pescara;Italy
Piacenza;Italy
RC Cesena;Italy
Reggina;Italy
SSC Napoli;Italy
Sampdoria;Italy
Sassuolo;Italy
Siena;Italy
Torino;Italy
Treviso;Italy
US Palermo;Italy
Udinese Calcio;Italy
Venezia;Italy
Barcelona SC;Ecuador
AS Livorno;Italy
Anconitana;Italy
Arezzo;Italy
Ascoli;Italy
Atalanta;Italy
Bari;Italy
Bologna;Italy
Brescia;Italy
Cagliari Calcio;Italy
Chievo Verona;Italy
Cittadella;Italy
Como;Italy
FC Empoli;Italy
Genoa;Italy
Grosseto;Italy
Hellas Verona;Italy
Juventus;Italy
Lecce;Italy
Modena;Italy
Monza;Italy
Novara;Italy
Parma;Italy
Perugia;Italy
Pescara;Italy
Piacenza;Italy
RC Cesena;Italy
Reggina;Italy
Rimini;Italy
SSC Napoli;Italy
Sampdoria;Italy
Siena;Italy
Ternana;Italy
Torino;Italy
Treviso;Italy
UC AlbinoLeffe;Italy
US Palermo;Italy
Venezia;Italy
Vicenza;Italy
Genoa;Italy
RC Cesena;Italy
UC AlbinoLeffe;Italy
Arezzo;Italy
Ternana;Italy
Al Arabi;Qatar
Al Gharafa;Qatar
Al Rayyan;Qatar
AEK Athens;Greece
AO Xanthi;Greece
Aris Saloniki;Greece
BJ Renhe;China
BJ Sinobo Guoan;China
BSC Young Boys;Switzerland
DL Yifang;China
Egaleo AO;Greece
FC Basel;Switzerland
FC Lugano;Switzerland
FC Sion;Switzerland
FC St. Gallen;Switzerland
FC Zürich;Switzerland
GZ Evergrande;China
GZ R&F;China
Grasshoppers;Switzerland
HN Jianye;Greece
Iraklis;Greece
JS Suning;China
Liaoning FC;China
Neuchâtel Xamax;Switzerland
Olympiacos;Greece
PAOK Saloniki;Greece
Panathinaikos;Greece
Panionios;Greece
QD Jonoon;China
SD Luneng;China
Servette FC;Switzerland
YB Funde;China
ZJ Greentown;China
OFK Beograd;Serbia
Partizan;Serbia
Red Star;Serbia
Örgryte;Sweden
Bröndby IF;Denmark
FC Copenhagen;Denmark
FC Midtjylland;Denmark
Nordsjaelland;Denmark
Odense BK;Denmark
FC Midtjylland;Denmark
Atlético-MG;Brazil
Atlético-PR;Brazil
Botafogo;Brazil
Corinthians;Brazil
Coritiba FC;Brazil
Cruzeiro;Brazil
EC Bahia;Brazil
EC Vitória;Brazil
Flamengo;Brazil
Fluminense;Brazil
Goiás EC;Brazil
Grêmio;Brazil
Internacional;Brazil
Juventude;Brazil
Palmeiras;Brazil
Paraná;Brazil
Portuguesa;Brazil
Santos FC;Brazil
São Paulo;Brazil
Vasco da Gama;Brazil
Corinthians;Brazil
Goiás EC;Brazil
Paraná;Brazil
Vasco da Gama;Brazil
Akhisarspor;Turkey
Antalyaspor;Turkey
Basaksehir;Turkey
Besiktas;Turkey
Bursaspor;Turkey
Denizlispor;Turkey
Eskisehirspor;Turkey
Fenerbahce;Turkey
Galatasaray;Turkey
Gaziantepspor;Turkey
Genclerbirligi;Turkey
Istanbulspor;Turkey
Karabükspor;Turkey
Kasimpasa;Turkey
Kayserispor;Turkey
Malatyaspor;Turkey
Manisaspor;Turkey
Osmanlispor;Turkey
Samsunspor;Turkey
Siirtspor;Turkey
Trabzonspor;Turkey
Argentinos;Argentina
Arsenal FC;Argentina
Belgrano;Argentina
Boca Juniors;Argentina
CA Banfield;Argentina
CA Rosario;Argentina
CD Godoy Cruz;Argentina
Colón;Argentina
Estudiantes;Argentina
Gimnasia;Argentina
Huracán;Argentina
Independiente;Argentina
Lanús;Argentina
Newell's;Argentina
Quilmes;Argentina
Racing Club;Argentina
River Plate;Argentina
San Lorenzo;Argentina
Tigre;Argentina
Vélez Sarsfield;Argentina
Racing Club;Argentina
River Plate;Argentina
San Lorenzo;Argentina
Man City U18;England
Ajax U19;Netherlands
Al-Ahli (UAE);United Arab Emirates
Al-Ain FC;United Arab Emirates
Al-Jazira;United Arab Emirates
Baniyas SC;United Arab Emirates
Skonto Riga;Latvia
BATE Borisov;Belarus
Dinamo Minsk;Belarus
